,company,type,size,ram,os,weight,price,cpu_model,cpu_brand,cpu_freq,hor_res,ver_res,is_touchscreen,is_IPS,is_HD,HDD,SSD,Flash,storage_type,gpu_brand
59,Asus,notebook,15.6,4,Linux,2.0,36287.6,Intel Core i3,Intel,2.0,1920,1080,0,0,1,0,256,0,Single,Intel
60,Dell,notebook,17.3,16,Windows 10,2.8,113584.56,Intel Core i7,Intel,1.8,1920,1080,0,0,1,2000,256,0,Dual,AMD
61,Dell,ultrabook,14.0,8,Windows 10,1.7,76859.76,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,Intel
62,Lenovo,notebook,14.0,8,No OS,1.7,52376.56,Intel Core i3,Intel,2.7,1920,1080,0,1,1,0,256,0,Single,Intel
63,Asus,notebook,14.0,8,Windows 10,1.4,82281.04,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,Intel
64,HP,notebook,15.6,8,Windows 10,1.86,60333.6,Intel Core i5,Intel,2.5,1920,1080,0,0,1,0,256,0,Single,Intel
65,Asus,ultrabook,15.6,16,Windows 10,1.8,173393.52,Intel Core i7,Intel,2.8,1920,1080,0,0,1,0,512,0,Single,Nvidia
66,HP,notebook,15.6,4,Windows 10,1.86,38359.05,Intel Core i3,Intel,2.0,1366,768,0,0,0,500,0,0,Single,AMD
67,HP,notebook,14.0,4,Windows 10,1.44,20023.76,Intel Celeron Dual,Intel,1.6,1366,768,0,0,0,0,32,0,Single,Intel
68,Lenovo,notebook,15.6,4,Windows 10,1.9,48004.56,Intel Core i5,Intel,2.5,1920,1080,0,0,1,1000,0,0,Single,Intel
69,Asus,gaming,17.3,12,Linux,3.0,82980.56,Intel Core i7,Intel,2.8,1920,1080,0,0,1,1000,0,0,Single,Nvidia
70,others,ultrabook,13.3,4,Windows 10,1.252,95222.16,Intel Core i5,Intel,2.5,2256,1504,1,0,1,0,128,0,Single,Intel
71,Dell,ultrabook,13.3,8,Windows 10,1.4,83505.2,Intel Core i7,Intel,1.8,1920,1080,0,1,1,0,256,0,Single,AMD
72,Dell,notebook,15.6,8,Windows 10,2.2,76072.8,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,256,0,Single,AMD
73,MSI,gaming,17.3,8,Windows 10,2.7,95746.8,Intel Core i5,Intel,2.5,1920,1080,0,0,1,1000,128,0,Dual,Nvidia
74,Acer,notebook,14.0,8,Windows 10,2.1,34014.16,Intel Core i3,Intel,2.0,1366,768,0,0,0,1000,0,0,Single,Intel
75,Asus,gaming,15.6,8,Windows 10,2.2,82980.56,Intel Core i7,Intel,2.8,1920,1080,0,0,1,1000,0,0,Single,Nvidia
76,Lenovo,notebook,15.6,8,No OS,2.2,45381.36,Intel Core i5,Intel,2.5,1920,1080,0,0,1,2000,0,0,Single,Intel
77,Dell,notebook,15.6,8,Windows 10,2.02,74761.2,Intel Core i7,Intel,1.8,1920,1080,0,0,1,1000,128,0,Dual,Intel
78,Acer,notebook,15.6,4,Windows 10,2.2,46343.2,Intel Core i3,Intel,2.7,1920,1080,0,0,1,1000,0,0,Single,Nvidia
79,HP,notebook,17.3,8,Windows 10,2.5,85428.88,Intel Core i5,Intel,1.6,1920,1080,0,0,1,1000,128,0,Dual,Nvidia
80,Dell,ultrabook,15.6,8,Windows 10,1.88,95848.23,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,Intel
81,Apple,ultrabook,11.6,8,Mac OS,0.92,132034.4,Intel Core i5,Intel,1.3,2304,1440,0,1,1,0,512,0,Single,Intel
82,HP,notebook,14.0,8,Windows 10,1.63,75198.4,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,Intel
83,Lenovo,notebook,15.6,4,Windows 10,2.2,34888.56,others,AMD,2.5,1920,1080,0,0,1,0,128,0,Single,AMD
84,Acer,notebook,15.6,4,Windows 10,2.1,34538.8,AMD A9,AMD,3.0,1366,768,0,0,0,1000,0,0,Single,AMD
85,Dell,gaming,15.6,16,Windows 10,2.65,117956.56,Intel Core i7,Intel,2.8,1920,1080,0,1,1,1000,128,0,Dual,Nvidia
86,HP,ultrabook,15.6,8,Windows 10,1.83,61120.56,Intel Core i7,Intel,1.8,1920,1080,0,1,1,0,256,0,Single,Nvidia
87,HP,notebook,15.6,8,Windows 10,1.96,52375.69,Intel Core i5,Intel,2.5,1920,1080,0,0,1,0,256,0,Single,Intel
88,Asus,gaming,15.6,16,Windows 10,2.2,126700.56,Intel Core i7,Intel,2.8,1920,1080,0,1,1,1000,128,0,Dual,Nvidia
89,Dell,ultrabook,13.3,8,Windows 10,1.21,144188.56,Intel Core i7,Intel,1.8,1920,1080,0,1,1,0,256,0,Single,Intel
90,Asus,gaming,15.6,8,Windows 10,2.45,61120.56,others,AMD,3.0,1920,1080,0,0,1,1000,0,0,Single,AMD
91,Acer,notebook,15.6,8,Windows 10,2.2,60246.16,Intel Core i7,Intel,1.8,1920,1080,0,0,1,1000,0,0,Single,Nvidia
92,HP,notebook,13.3,16,Windows 10,1.49,104665.68,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,512,0,Single,Intel
93,Dell,gaming,15.6,8,Windows 10,2.65,104490.8,Intel Core i5,Intel,2.5,1920,1080,0,0,1,0,256,0,Single,Nvidia
94,Asus,ultrabook,14.0,8,Windows 10,1.25,91724.56,Intel Core i7,Intel,2.7,1920,1080,0,0,1,0,256,0,Single,Intel
95,Acer,2 in 1 convertible,13.3,8,Windows 10,1.5,74061.68,Intel Core i5,Intel,1.6,1920,1080,1,1,1,0,256,0,Single,Intel
96,Dell,notebook,15.6,8,Linux,2.2,52455.26,Intel Core i7,Intel,2.7,1920,1080,0,0,1,1000,0,0,Single,AMD
97,Dell,notebook,15.6,4,Linux,2.2,42408.4,Intel Core i3,Intel,2.0,1920,1080,0,0,1,0,256,0,Single,AMD
98,Asus,notebook,15.6,6,Windows 10,2.0,50452.88,Intel Core i3,Intel,2.4,1920,1080,0,0,1,0,256,0,Single,Nvidia
99,HP,gaming,15.6,12,Windows 10,2.62,109212.56,Intel Core i7,Intel,2.8,1920,1080,0,1,1,1000,128,0,Dual,Nvidia
100,HP,notebook,15.6,8,Windows 10,1.91,62869.36,Intel Core i7,Intel,2.7,1920,1080,0,0,1,0,256,0,Single,AMD
101,HP,notebook,15.6,4,Windows 10,2.1,30516.56,others,AMD,1.5,1920,1080,0,0,1,500,0,0,Single,AMD
102,Dell,notebook,15.6,8,Linux,2.2,56573.68,Intel Core i5,Intel,1.6,1920,1080,0,0,1,1000,0,0,Single,AMD
103,HP,ultrabook,13.3,8,Windows 10,1.38,97845.36,Intel Core i7,Intel,2.7,1920,1080,0,1,1,0,256,0,Single,Nvidia
104,others,ultrabook,13.3,8,Windows 10,1.252,117169.6,Intel Core i5,Intel,2.5,2256,1504,1,0,1,0,256,0,Single,Intel
105,HP,notebook,14.0,6,Windows 10,1.58,57622.96,Intel Core i5,Intel,2.5,1920,1080,0,1,1,0,256,0,Single,Nvidia
106,Lenovo,notebook,15.6,4,Windows 10,1.85,36278.86,Intel Core i3,Intel,2.0,1920,1080,0,0,1,1000,0,0,Single,Intel
107,Asus,ultrabook,14.0,8,Windows 10,1.3,104315.92,Intel Core i7,Intel,2.7,1920,1080,0,1,1,0,256,0,Single,Nvidia
108,MSI,gaming,15.6,16,Windows 10,2.2,113584.56,Intel Core i7,Intel,2.8,1920,1080,0,0,1,1000,256,0,Dual,Nvidia
109,Lenovo,notebook,14.0,8,Windows 10,1.58,129411.2,Intel Core i7,Intel,2.7,1920,1080,0,1,1,0,256,0,Single,Intel
110,Asus,ultrabook,15.6,16,Windows 10,1.5,110349.28,Intel Core i7,Intel,1.8,1920,1080,0,0,1,1000,256,0,Dual,Nvidia
111,Dell,ultrabook,13.3,8,Windows 10,1.23,120579.76,Intel Core i7,Intel,2.4,3200,1800,1,0,1,0,256,0,Single,Intel
112,Lenovo,2 in 1 convertible,13.3,8,Windows 10,1.37,122328.56,Intel Core i5,Intel,2.5,1920,1080,1,1,1,0,256,0,Single,Intel
113,HP,notebook,14.0,4,Windows 10,1.63,63131.68,Intel Core i5,Intel,1.6,1366,768,0,1,0,500,0,0,Single,Intel
114,Dell,ultrabook,13.3,8,Windows 10,1.21,142439.76,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,Intel
115,HP,2 in 1 convertible,13.3,8,Windows 10,1.26,122327.69,Intel Core i5,Intel,1.6,1920,1080,1,1,1,0,256,0,Single,Intel
116,HP,notebook,14.0,8,Windows 10,1.63,94784.96,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,512,0,Single,Intel
117,Dell,notebook,15.6,8,Windows 10,2.16,98836.06,Intel Core i7,Intel,1.8,1920,1080,0,1,1,1000,256,0,Dual,Nvidia
118,Asus,notebook,17.3,4,Windows 10,2.0,49316.16,Intel Core i3,Intel,2.0,1920,1080,0,0,1,1000,0,0,Single,Nvidia
119,Asus,notebook,15.6,8,Windows 10,1.7,97757.92,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,256,0,Single,Nvidia
120,Acer,notebook,15.6,6,Windows 10,2.1,41883.76,Intel Core i3,Intel,2.4,1920,1080,1,1,1,1000,0,0,Single,Intel
121,MSI,gaming,15.6,16,Windows 10,1.8,195996.76,Intel Core i7,Intel,2.8,1920,1080,0,0,1,2000,256,0,Dual,Nvidia
122,Lenovo,notebook,15.6,8,No OS,2.2,54999.76,Intel Core i5,Intel,2.5,1920,1080,0,0,1,0,256,0,Single,Nvidia
123,HP,notebook,17.3,16,Windows 10,2.5,111136.24,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,512,0,Single,Nvidia
124,Acer,notebook,15.6,4,Windows 10,2.1,39435.44,AMD A9,AMD,3.0,1366,768,0,0,0,0,256,0,Single,AMD
125,HP,notebook,15.6,4,No OS,1.86,22646.96,Intel Celeron Dual,Intel,1.6,1366,768,0,0,0,500,0,0,Single,Intel
126,HP,notebook,14.0,8,Windows 10,1.63,71001.28,Intel Core i5,Intel,1.6,1920,1080,0,0,1,1000,0,0,Single,Intel
127,Asus,notebook,14.0,4,Windows 10,1.65,24307.45,others,AMD,1.5,1366,768,0,0,0,0,64,0,Single,AMD
129,HP,notebook,17.3,8,Windows 10,2.5,81144.32,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,Intel
130,Dell,notebook,15.6,8,Windows 10,2.36,55873.29,Intel Core i5,Intel,2.5,1366,768,0,0,0,1000,0,0,Single,AMD
131,Dell,notebook,15.6,4,Windows 10,2.2,39260.56,Intel Core i3,Intel,2.0,1920,1080,0,0,1,1000,0,0,Single,AMD
132,Acer,ultrabook,14.0,8,Windows 10,1.6,77296.96,Intel Core i7,Intel,1.8,1920,1080,0,1,1,0,256,0,Single,Intel
133,Acer,notebook,15.6,4,Windows 10,2.2,50015.68,Intel Core i3,Intel,2.7,1920,1080,0,0,1,0,256,0,Single,Nvidia
134,HP,notebook,15.6,8,Windows 10,2.05,52289.12,Intel Core i7,Intel,2.7,1366,768,0,0,0,1000,0,0,Single,Intel
135,HP,notebook,14.0,8,Windows 10,1.63,86390.72,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,256,0,Single,Intel
136,Lenovo,notebook,15.6,4,No OS,1.9,22066.36,Intel Celeron Dual,Intel,1.1,1366,768,0,0,0,1000,0,0,Single,Intel
137,Asus,gaming,17.3,8,Windows 10,3.0,82018.72,Intel Core i5,Intel,2.5,1920,1080,0,0,1,1000,128,0,Dual,Nvidia
138,Lenovo,notebook,15.6,4,No OS,2.2,43632.56,Intel Core i5,Intel,2.5,1920,1080,0,0,1,1000,0,0,Single,Nvidia
139,HP,notebook,13.3,4,Windows 10,1.32,61120.56,Intel Core i5,Intel,2.5,1920,1080,0,1,1,0,256,0,Single,Intel
140,Acer,notebook,17.3,4,Windows 10,3.0,57273.2,Intel Core i3,Intel,2.7,1920,1080,0,1,1,1000,0,0,Single,Nvidia
141,Lenovo,notebook,14.0,8,Windows 10,1.75,97584.79,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,AMD
142,Lenovo,gaming,15.6,8,No OS,2.4,75985.36,Intel Core i7,Intel,2.8,1920,1080,0,1,1,0,256,0,Single,Nvidia
143,Toshiba,notebook,15.6,4,Windows 10,2.1,52638.88,Intel Core i5,Intel,2.3,1366,768,0,0,0,500,0,0,Single,Intel
144,HP,notebook,15.6,4,Windows 10,1.86,32265.36,others,AMD,2.5,1366,768,0,0,0,0,256,0,Single,AMD
145,Asus,ultrabook,14.0,8,Windows 10,1.25,96096.56,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,256,0,Single,Intel
146,HP,ultrabook,12.5,8,Windows 10,0.97,176104.16,Intel Core M,Intel,1.2,3840,2160,1,1,1,0,512,0,Single,Intel
147,Asus,notebook,15.6,4,Windows 10,2.0,30079.36,Intel Celeron Dual,Intel,1.1,1920,1080,0,0,1,1000,0,0,Single,Intel
148,MSI,gaming,17.3,16,Windows 10,2.9,177415.76,Intel Core i7,Intel,2.8,1920,1080,0,0,1,1000,256,0,Dual,Nvidia
149,Acer,notebook,15.6,4,Windows 10,2.1,39085.68,Intel Core i3,Intel,2.0,1366,768,0,0,0,1000,0,0,Single,Intel
150,Dell,gaming,15.6,16,Windows 10,2.56,109235.29,Intel Core i7,Intel,2.8,1920,1080,0,0,1,0,512,0,Single,Nvidia
151,Dell,gaming,15.6,8,Windows 10,2.62,78608.56,Intel Core i7,Intel,2.8,1920,1080,0,0,1,0,0,0,Single,Nvidia
152,Lenovo,notebook,15.6,4,Windows 10,1.9,43545.12,Intel Core i5,Intel,2.5,1366,768,0,0,0,0,128,0,Single,Intel
153,MSI,gaming,17.3,16,Windows 10,2.8,165261.6,Intel Core i7,Intel,2.8,1920,1080,0,0,1,1000,256,0,Dual,Nvidia
154,HP,ultrabook,14.0,4,Windows 10,1.48,94610.08,Intel Core i5,Intel,2.7,1920,1080,0,0,1,0,256,0,Single,Intel
155,HP,notebook,15.6,6,Windows 10,1.91,54125.36,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,AMD
156,Lenovo,2 in 1 convertible,14.0,4,Windows 10,1.74,54999.76,Intel Core i3,Intel,2.4,1920,1080,1,1,1,0,256,0,Single,Intel
157,Asus,2 in 1 convertible,13.3,8,Windows 10,1.1,114983.6,Intel Core i5,Intel,1.6,1920,1080,1,0,1,0,256,0,Single,Intel
158,Dell,2 in 1 convertible,15.6,8,Windows 10,1.56,91724.56,Intel Core i7,Intel,1.8,1920,1080,1,0,1,0,256,0,Single,Intel
159,Toshiba,notebook,15.6,4,Windows 10,2.1,39085.68,Intel Core i3,Intel,2.2,1366,768,0,0,0,500,0,0,Single,Intel
160,Asus,notebook,15.6,4,Windows 10,2.03,35238.32,AMD A9,AMD,3.0,1366,768,0,0,0,1000,0,0,Single,AMD
161,Acer,notebook,17.3,4,Windows 10,3.0,70389.2,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,Nvidia
162,Dell,notebook,15.6,8,Windows 10,2.13,63656.32,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,AMD
163,Lenovo,gaming,15.6,16,Windows 10,2.5,94347.76,Intel Core i7,Intel,2.8,1920,1080,0,1,1,0,256,0,Single,Nvidia
164,Acer,notebook,15.6,4,Windows 10,2.1,30429.12,Intel Celeron Dual,Intel,1.1,1366,768,0,0,0,1000,0,0,Single,Intel
165,MSI,gaming,15.6,16,Windows 10,2.4,157304.56,Intel Core i7,Intel,2.8,1920,1080,0,1,1,1000,256,0,Dual,Nvidia
166,Acer,notebook,15.6,4,Windows 10,2.1,31785.31,Intel Pentium Quad,Intel,1.1,1366,768,0,0,0,1000,0,0,Single,Intel
167,Dell,gaming,15.6,8,Windows 10,2.56,92729.25,Intel Core i7,Intel,2.8,1920,1080,0,0,1,1000,128,0,Dual,Nvidia
168,Acer,notebook,17.3,8,Windows 10,3.0,74673.76,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,Nvidia
169,HP,notebook,13.3,4,Windows 10,1.49,65929.76,Intel Core i5,Intel,1.6,1920,1080,0,1,1,500,0,0,Single,Intel
170,others,ultrabook,13.3,8,Windows 10,1.05,117956.56,Intel Core i5,Intel,2.5,2160,1440,0,1,1,0,256,0,Single,Intel
171,HP,notebook,17.3,6,Windows 10,2.71,61120.56,Intel Core i5,Intel,2.5,1920,1080,0,1,1,2000,0,0,Single,AMD
172,Lenovo,notebook,15.6,4,No OS,2.2,27018.96,others,AMD,2.9,1366,768,0,0,0,500,0,0,Single,AMD
173,Toshiba,notebook,15.6,4,Windows 10,2.0,42758.16,Intel Core i3,Intel,2.4,1366,768,0,0,0,500,0,0,Single,Intel
174,HP,notebook,17.3,8,Windows 10,2.5,80707.12,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,Nvidia
175,Dell,notebook,15.6,8,Windows 10,2.3,40134.96,Intel Core i3,Intel,2.4,1366,768,0,0,0,1000,0,0,Single,Intel
176,Acer,notebook,15.6,4,Windows 10,2.1,39260.56,Intel Core i3,Intel,2.0,1366,768,0,0,0,0,128,0,Single,Intel
177,MSI,gaming,17.3,32,Windows 10,4.4,244744.56,Intel Core i7,Intel,2.9,1920,1080,0,0,1,1000,512,0,Dual,Nvidia
178,Lenovo,notebook,15.6,8,Windows 10,1.9,71088.72,Intel Core i5,Intel,2.5,1920,1080,0,0,1,1000,128,0,Dual,AMD
179,HP,2 in 1 convertible,13.3,8,Windows 10,1.29,131072.56,Intel Core i5,Intel,1.6,3840,2160,1,1,1,0,256,0,Single,Intel
180,Dell,notebook,15.6,16,Linux,2.02,91724.56,Intel Core i7,Intel,1.8,1920,1080,0,0,1,2000,256,0,Dual,AMD
181,Dell,ultrabook,13.3,8,Windows 10,1.23,122328.56,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,Intel
182,Lenovo,2 in 1 convertible,14.0,16,Windows 10,1.4,161676.56,Intel Core i7,Intel,1.8,3840,2160,1,1,1,0,512,0,Single,Intel
183,Toshiba,notebook,15.6,8,Windows 10,2.0,69339.92,Intel Core i5,Intel,2.5,1366,768,0,0,0,0,128,0,Single,Intel
184,others,notebook,15.6,8,No OS,1.95,104840.56,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,Nvidia
185,Dell,notebook,17.3,16,Windows 10,2.77,135444.56,Intel Core i7,Intel,1.8,1920,1080,1,0,1,0,512,0,Single,Nvidia
186,Dell,notebook,15.6,16,Windows 10,2.06,209593.68,Intel Core i7,Intel,2.8,3840,2160,1,0,1,0,512,0,Single,Nvidia
187,Lenovo,gaming,15.6,8,No OS,2.4,68115.76,Intel Core i5,Intel,2.5,1920,1080,0,1,1,0,256,0,Single,Nvidia
188,Acer,ultrabook,13.3,8,Windows 10,1.12,86478.16,Intel Core i5,Intel,1.2,1920,1080,0,1,1,0,256,0,Single,Intel
189,Dell,notebook,17.3,8,Windows 10,2.8,94872.4,Intel Core i7,Intel,1.8,1920,1080,0,0,1,1000,128,0,Dual,AMD
